id;name;typ;untertyp;status;kapazitaet_max;kapazitaet_verfuegbar;auslastung_prozent;strasse;plz;ort;stadtteil;lat;lon;barrierefrei;stromversorgung_notstrom;wasser_verfuegbar;sanitaer_verfuegbar;betreiber;ansprechpartner;letzte_pruefung;prioritaet;hinweis
"NK-0149";"Notfall-Anlaufstelle Oberdorf 149";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"105";"21";"80";"Musterstrasse 29";"73728";"Esslingen am Neckar";"Oberdorf";"48.77238761082889";"9.286845735086482";"ja";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-12-13";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0150";"Notfall-Anlaufstelle Pliensauvorstadt 150";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"188";"19";"90";"Musterstrasse 30";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.756001407360905";"9.27991001738332";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-09-09";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0151";"Notfall-Anlaufstelle Zell 151";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"43";"23";"47";"Musterstrasse 31";"73728";"Esslingen am Neckar";"Zell";"48.741744874034126";"9.276925645938842";"nein";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-07-17";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0152";"Notfall-Anlaufstelle Obertal 152";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"124";"16";"87";"Musterstrasse 32";"73728";"Esslingen am Neckar";"Obertal";"48.71988986930302";"9.267046642235913";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2026-03-24";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0153";"Notfall-Anlaufstelle Sulzgries 153";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"316";"79";"75";"Musterstrasse 33";"73728";"Esslingen am Neckar";"Sulzgries";"48.699743055524856";"9.280678976080013";"ja";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2026-04-07";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0154";"Notfall-Anlaufstelle Berkheim 154";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"131";"69";"47";"Musterstrasse 34";"73728";"Esslingen am Neckar";"Berkheim";"48.68964442571603";"9.30503937624751";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-12-10";"mittel";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0155";"Notfall-Anlaufstelle Waldacker 155";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"170";"65";"62";"Musterstrasse 35";"73728";"Esslingen am Neckar";"Waldacker";"48.71334914893552";"9.321441419324714";"ja";"ja";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-07-22";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0156";"Notfall-Anlaufstelle Auenfeld 156";"Notfall-Anlaufstelle";"Buergerhaus";"ausser Betrieb";"56";"0";"100";"Musterstrasse 36";"73728";"Esslingen am Neckar";"Auenfeld";"48.715647396535";"9.351169574637098";"nein";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-09-08";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0157";"Notfall-Anlaufstelle Mitte 157";"Notfall-Anlaufstelle";"Buergerhaus";"eingeschraenkt";"333";"224";"33";"Musterstrasse 37";"73728";"Esslingen am Neckar";"Mitte";"48.75862155210919";"9.294945787375978";"ja";"nein";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-12-25";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0158";"Notfall-Anlaufstelle Nord 158";"Notfall-Anlaufstelle";"Buergerhaus";"eingeschraenkt";"251";"63";"75";"Musterstrasse 38";"73728";"Esslingen am Neckar";"Nord";"48.760711276607545";"9.271947435633951";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-10-26";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0159";"Notfall-Anlaufstelle Sued 159";"Notfall-Anlaufstelle";"Buergerhaus";"ausser Betrieb";"152";"0";"100";"Musterstrasse 39";"73728";"Esslingen am Neckar";"Sued";"48.74184924354184";"9.277448050655314";"ja";"ja";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2026-01-09";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0160";"Notfall-Anlaufstelle Weststadt 160";"Notfall-Anlaufstelle";"Buergerhaus";"geplant";"120";"65";"46";"Musterstrasse 40";"73728";"Esslingen am Neckar";"Weststadt";"48.718379490102315";"9.264123773544544";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-07-10";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0161";"Notfall-Anlaufstelle Oberdorf 161";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"50";"36";"28";"Musterstrasse 41";"73728";"Esslingen am Neckar";"Oberdorf";"48.71490955509019";"9.289151283340956";"nein";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2026-02-08";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0162";"Notfall-Anlaufstelle Pliensauvorstadt 162";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"71";"12";"83";"Musterstrasse 42";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.70272455285008";"9.304783029789236";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2026-02-22";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0163";"Notfall-Anlaufstelle Zell 163";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"74";"23";"69";"Musterstrasse 43";"73728";"Esslingen am Neckar";"Zell";"48.703292621023465";"9.327179510669072";"ja";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-11-05";"mittel";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0164";"Notfall-Anlaufstelle Obertal 164";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"135";"104";"23";"Musterstrasse 44";"73728";"Esslingen am Neckar";"Obertal";"48.72073793857645";"9.341813756556228";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2026-05-12";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0165";"Notfall-Anlaufstelle Sulzgries 165";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"80";"16";"80";"Musterstrasse 45";"73728";"Esslingen am Neckar";"Sulzgries";"48.74213469432929";"9.33599794022827";"ja";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2026-03-01";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0166";"Notfall-Anlaufstelle Berkheim 166";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"190";"160";"16";"Musterstrasse 46";"73728";"Esslingen am Neckar";"Berkheim";"48.76728838027897";"9.347732248885753";"nein";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-08-25";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0167";"Notfall-Anlaufstelle Waldacker 167";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"225";"62";"72";"Musterstrasse 47";"73728";"Esslingen am Neckar";"Waldacker";"48.7856474939966";"9.329315550393073";"ja";"ja";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-03-26";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0168";"Notfall-Anlaufstelle Auenfeld 168";"Notfall-Anlaufstelle";"Buergerhaus";"ausser Betrieb";"72";"0";"100";"Musterstrasse 48";"73728";"Esslingen am Neckar";"Auenfeld";"48.77267672220493";"9.30428368522392";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2026-01-05";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0169";"Notfall-Anlaufstelle Mitte 169";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"297";"235";"21";"Musterstrasse 49";"73728";"Esslingen am Neckar";"Mitte";"48.71618688866269";"9.289754589795008";"ja";"nein";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-09-29";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0170";"Notfall-Anlaufstelle Nord 170";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"331";"147";"56";"Musterstrasse 50";"73728";"Esslingen am Neckar";"Nord";"48.70874033583898";"9.304631038105157";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2026-03-30";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0171";"Notfall-Anlaufstelle Sued 171";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"347";"59";"83";"Musterstrasse 51";"73728";"Esslingen am Neckar";"Sued";"48.70651405943232";"9.325118418257357";"nein";"ja";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-07-06";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0172";"Notfall-Anlaufstelle Weststadt 172";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"58";"23";"60";"Musterstrasse 52";"73728";"Esslingen am Neckar";"Weststadt";"48.724567169187516";"9.334816730714264";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2026-03-07";"mittel";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0173";"Notfall-Anlaufstelle Oberdorf 173";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"116";"50";"57";"Musterstrasse 53";"73728";"Esslingen am Neckar";"Oberdorf";"48.742069749443914";"9.350003209398032";"ja";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-09-17";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0174";"Notfall-Anlaufstelle Pliensauvorstadt 174";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"319";"172";"46";"Musterstrasse 54";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.76213086518645";"9.33926577110208";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-06-09";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0175";"Notfall-Anlaufstelle Zell 175";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"192";"71";"63";"Musterstrasse 55";"73728";"Esslingen am Neckar";"Zell";"48.76662081853911";"9.31868834818249";"ja";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2026-05-11";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0176";"Notfall-Anlaufstelle Obertal 176";"Notfall-Anlaufstelle";"Buergerhaus";"eingeschraenkt";"324";"121";"63";"Musterstrasse 56";"73728";"Esslingen am Neckar";"Obertal";"48.773153960573715";"9.30439555348808";"nein";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-06-23";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0177";"Notfall-Anlaufstelle Sulzgries 177";"Notfall-Anlaufstelle";"Buergerhaus";"eingeschraenkt";"43";"10";"77";"Musterstrasse 57";"73728";"Esslingen am Neckar";"Sulzgries";"48.78657023426208";"9.278362441318937";"ja";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2026-01-13";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0178";"Notfall-Anlaufstelle Berkheim 178";"Notfall-Anlaufstelle";"Buergerhaus";"eingeschraenkt";"221";"187";"15";"Musterstrasse 58";"73728";"Esslingen am Neckar";"Berkheim";"48.75785980925906";"9.276411974432458";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-05-25";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0179";"Notfall-Anlaufstelle Waldacker 179";"Notfall-Anlaufstelle";"Buergerhaus";"ausser Betrieb";"230";"0";"100";"Musterstrasse 59";"73728";"Esslingen am Neckar";"Waldacker";"48.741464224783876";"9.257964650701133";"ja";"ja";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2026-04-05";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0180";"Notfall-Anlaufstelle Auenfeld 180";"Notfall-Anlaufstelle";"Buergerhaus";"ausser Betrieb";"243";"0";"100";"Musterstrasse 60";"73728";"Esslingen am Neckar";"Auenfeld";"48.716181353479584";"9.261092910995439";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-08-26";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0181";"Notfall-Anlaufstelle Mitte 181";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"128";"76";"41";"Musterstrasse 61";"73728";"Esslingen am Neckar";"Mitte";"48.7419";"9.31965449705571";"nein";"nein";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-08-19";"niedrig";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0182";"Notfall-Anlaufstelle Nord 182";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"93";"22";"76";"Musterstrasse 62";"73728";"Esslingen am Neckar";"Nord";"48.75486639141932";"9.327010072916016";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-09-12";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0183";"Notfall-Anlaufstelle Sued 183";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"100";"41";"59";"Musterstrasse 63";"73728";"Esslingen am Neckar";"Sued";"48.75450420904788";"9.311845676861195";"ja";"ja";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-08-03";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0184";"Notfall-Anlaufstelle Weststadt 184";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"291";"196";"33";"Musterstrasse 64";"73728";"Esslingen am Neckar";"Weststadt";"48.76029783905117";"9.30454843673445";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-05-21";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0185";"Notfall-Anlaufstelle Oberdorf 185";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"199";"113";"43";"Musterstrasse 65";"73728";"Esslingen am Neckar";"Oberdorf";"48.77327372538238";"9.286329711951229";"ja";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-12-22";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0186";"Notfall-Anlaufstelle Pliensauvorstadt 186";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"341";"135";"60";"Musterstrasse 66";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.75330160482068";"9.284637068810223";"nein";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-04-27";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0187";"Notfall-Anlaufstelle Zell 187";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"334";"57";"83";"Musterstrasse 67";"73728";"Esslingen am Neckar";"Zell";"48.741650265848556";"9.260047617752475";"ja";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-11-07";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0188";"Notfall-Anlaufstelle Obertal 188";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"177";"83";"53";"Musterstrasse 68";"73728";"Esslingen am Neckar";"Obertal";"48.72597412379419";"9.277427506792348";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-05-13";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0189";"Notfall-Anlaufstelle Sulzgries 189";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"249";"147";"41";"Musterstrasse 69";"73728";"Esslingen am Neckar";"Sulzgries";"48.70210104061711";"9.282016962466288";"ja";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-10-19";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0190";"Notfall-Anlaufstelle Berkheim 190";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"143";"39";"73";"Musterstrasse 70";"73728";"Esslingen am Neckar";"Berkheim";"48.707590042572605";"9.304888485593226";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-11-28";"hoch";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0191";"Notfall-Anlaufstelle Waldacker 191";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"332";"282";"15";"Musterstrasse 71";"73728";"Esslingen am Neckar";"Waldacker";"48.71282973029039";"9.321747811144279";"nein";"ja";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-11-10";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0192";"Notfall-Anlaufstelle Auenfeld 192";"Notfall-Anlaufstelle";"Buergerhaus";"ausser Betrieb";"247";"0";"100";"Musterstrasse 72";"73728";"Esslingen am Neckar";"Auenfeld";"48.71547652393601";"9.351472686069933";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-12-05";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0193";"Notfall-Anlaufstelle Mitte 193";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"163";"51";"69";"Musterstrasse 73";"73728";"Esslingen am Neckar";"Mitte";"48.7757318630265";"9.285067124284163";"ja";"nein";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2026-04-19";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0194";"Notfall-Anlaufstelle Nord 194";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"94";"73";"22";"Musterstrasse 74";"73728";"Esslingen am Neckar";"Nord";"48.764135728711";"9.266003280696498";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-06-25";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0195";"Notfall-Anlaufstelle Sued 195";"Notfall-Anlaufstelle";"Buergerhaus";"aktiv";"310";"208";"33";"Musterstrasse 75";"73728";"Esslingen am Neckar";"Sued";"48.74185981253162";"9.28310188635519";"ja";"ja";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2026-05-15";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0196";"Notfall-Anlaufstelle Weststadt 196";"Notfall-Anlaufstelle";"Buergerhaus";"eingeschraenkt";"207";"63";"70";"Musterstrasse 76";"73728";"Esslingen am Neckar";"Weststadt";"48.72812803061897";"9.280899946139385";"nein";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2026-02-14";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0197";"Notfall-Anlaufstelle Oberdorf 197";"Notfall-Anlaufstelle";"Buergerhaus";"eingeschraenkt";"333";"257";"23";"Musterstrasse 77";"73728";"Esslingen am Neckar";"Oberdorf";"48.70418363426204";"9.283012010263576";"ja";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-08-06";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0198";"Notfall-Anlaufstelle Pliensauvorstadt 198";"Notfall-Anlaufstelle";"Buergerhaus";"eingeschraenkt";"130";"97";"25";"Musterstrasse 78";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.69286732274828";"9.304829083296706";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2026-04-01";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0199";"Notfall-Anlaufstelle Zell 199";"Notfall-Anlaufstelle";"Buergerhaus";"ausser Betrieb";"164";"0";"100";"Musterstrasse 79";"73728";"Esslingen am Neckar";"Zell";"48.704575502709";"9.326429217811238";"ja";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-11-12";"mittel";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0200";"Notfall-Anlaufstelle Obertal 200";"Notfall-Anlaufstelle";"Buergerhaus";"geplant";"252";"173";"31";"Musterstrasse 80";"73728";"Esslingen am Neckar";"Obertal";"48.72362236458326";"9.33674145641149";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-09-12";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0201";"AED-Standort Sulzgries 201";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 81";"73728";"Esslingen am Neckar";"Sulzgries";"48.74217674845461";"9.341624036594537";"nein";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-12-27";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0202";"AED-Standort Berkheim 202";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 82";"73728";"Esslingen am Neckar";"Berkheim";"48.758875908588685";"9.333440324048377";"ja";"ja";"nein";"nein";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-03-28";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0203";"AED-Standort Waldacker 203";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 83";"73728";"Esslingen am Neckar";"Waldacker";"48.76926923079108";"9.320062499472291";"ja";"nein";"nein";"nein";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-04-19";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0204";"AED-Standort Auenfeld 204";"AED-Standort";"Defibrillator";"ausser Betrieb";"0";"0";"0";"Musterstrasse 84";"73728";"Esslingen am Neckar";"Auenfeld";"48.79470765745313";"9.304057257266338";"ja";"nein";"nein";"nein";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-05-03";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0205";"AED-Standort Mitte 205";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 85";"73728";"Esslingen am Neckar";"Mitte";"48.71464877166693";"9.28886656121512";"ja";"ja";"ja";"nein";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-11-16";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0206";"AED-Standort Nord 206";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 86";"73728";"Esslingen am Neckar";"Nord";"48.72279880803585";"9.304617879095577";"nein";"nein";"nein";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-12-27";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0207";"AED-Standort Sued 207";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 87";"73728";"Esslingen am Neckar";"Sued";"48.71447761239412";"9.320500778938932";"ja";"nein";"nein";"nein";"DRK";"Kommunaler Bereitschaftsdienst";"2025-11-02";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0208";"AED-Standort Weststadt 208";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 88";"73728";"Esslingen am Neckar";"Weststadt";"48.73169409882117";"9.32239218703242";"ja";"ja";"nein";"nein";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-12-16";"mittel";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0209";"AED-Standort Oberdorf 209";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 89";"73728";"Esslingen am Neckar";"Oberdorf";"48.74202126414608";"9.337034753777532";"ja";"nein";"ja";"nein";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-07-24";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0210";"AED-Standort Pliensauvorstadt 210";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 90";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.75871871356718";"9.333419018335496";"ja";"nein";"nein";"nein";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-07-15";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0211";"AED-Standort Zell 211";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 91";"73728";"Esslingen am Neckar";"Zell";"48.78434502566192";"9.328789340623723";"nein";"ja";"nein";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-04-08";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0212";"AED-Standort Obertal 212";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 92";"73728";"Esslingen am Neckar";"Obertal";"48.787399784729196";"9.304302365008779";"ja";"nein";"nein";"nein";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2026-05-17";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0213";"AED-Standort Sulzgries 213";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 93";"73728";"Esslingen am Neckar";"Sulzgries";"48.76146415685596";"9.293108774981073";"ja";"nein";"ja";"nein";"DRK";"Kommunaler Bereitschaftsdienst";"2025-11-01";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0214";"AED-Standort Berkheim 214";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 94";"73728";"Esslingen am Neckar";"Berkheim";"48.75538980122017";"9.280774473295834";"ja";"ja";"nein";"nein";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-05-13";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0215";"AED-Standort Waldacker 215";"AED-Standort";"Defibrillator";"aktiv";"0";"0";"0";"Musterstrasse 95";"73728";"Esslingen am Neckar";"Waldacker";"48.741457651294375";"9.257261175680709";"ja";"nein";"nein";"nein";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2026-03-22";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0216";"AED-Standort Auenfeld 216";"AED-Standort";"Defibrillator";"ausser Betrieb";"0";"0";"0";"Musterstrasse 96";"73728";"Esslingen am Neckar";"Auenfeld";"48.71445912820903";"9.258179499200132";"nein";"nein";"nein";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-10-18";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
